NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	1.8763225123857327E-5	3.1416516	100000000	10412	78541290
1	3.9945850283865884E-5	3.14146716	100000000	9112	78536679
1	4.3600047777240724E-5	3.14145568	100000000	8741	78536392
1	1.600894684286329E-5	3.14154236	100000000	10569	78538559
1	1.430688671736815E-5	3.1416376	100000000	9465	78540940
1	3.3579652560148365E-5	3.14148716	100000000	10299	78537179
1	3.3060970508509955E-6	3.14160304	100000000	10185	78540076
1	7.325453147675275E-6	3.14156964	100000000	9214	78539241
1	5.876841161944152E-5	3.14177728	100000000	8711	78544432
1	3.420762080149369E-5	3.14170012	100000000	9214	78542503
2-------------------
2	3.903784933165613E-7	3.14159388	100000000	16063	78539847
2	4.8425625651720785E-5	3.14144052	100000000	15202	78536013
2	5.5126946521578E-5	3.14176584	100000000	14919	78544146
2	6.704038779584593E-5	3.14138204	100000000	15342	78534551
2	5.057740048239215E-5	3.14143376	100000000	15371	78535844
2	1.6747425778703697E-5	3.14154004	100000000	14852	78538501
2	4.208489271902592E-5	3.14146044	100000000	15266	78536511
2	2.0804409260601893E-7	3.141592	100000000	15500	78539800
2	3.648263872217147E-5	3.14147804	100000000	15353	78536951
2	1.2198475501555786E-4	3.14197588	100000000	14481	78549397
3-------------------
3	1.964176040975692E-5	3.14165436	100000000	20857	78541359
3	8.505672735376579E-5	3.14132544	100000000	19929	78533136
3	5.654889394723749E-5	3.141415	100000000	19561	78535375
3	1.375939371306681E-5	3.14163588	100000000	20847	78540897
3	7.121734820624878E-6	3.14157028	100000000	20429	78539257
3	1.5656520634783824E-5	3.14164184	100000000	18416	78541046
3	5.33275978989861E-5	3.14142512	100000000	19130	78535628
3	6.449390870630238E-5	3.14139004	100000000	17812	78534751
3	5.549210512502744E-5	3.14141832	100000000	19811	78535458
3	1.1318666976147467E-4	3.14194824	100000000	20020	78548706
4-------------------
4	1.1658548464299399E-5	3.14162928	100000000	25017	78540732
4	2.878362034094969E-5	3.14168308	100000000	24835	78542077
4	3.955449218677533E-6	3.14160508	100000000	25611	78540127
4	3.848162480741368E-5	3.14147176	100000000	23815	78536794
4	4.911317500593995E-5	3.14143836	100000000	23450	78535959
4	4.734337203877079E-5	3.14144392	100000000	24196	78536098
4	7.609720182328356E-5	3.14183172	100000000	24542	78545793
4	3.823105776285941E-5	3.14171276	100000000	23446	78542819
4	7.650055761312563E-5	3.14135232	100000000	24823	78533808
4	1.285131277188583E-5	3.14155228	100000000	24153	78538807
5-------------------
5	1.5949365729989448E-5	3.14164276	100000000	27750	78541069
5	7.681960220296188E-6	3.14156852	100000000	27534	78539213
5	2.6275338437798767E-5	3.1416752	100000000	28218	78541880
5	2.2082299471233828E-5	3.14152328	100000000	27862	78538082
5	1.3301027476920699E-5	3.14163444	100000000	27249	78540861
5	3.36346630064524E-5	3.14169832	100000000	27127	78542458
5	2.2693454452667736E-5	3.14152136	100000000	28482	78538034
5	1.4383281090012048E-5	3.14163784	100000000	28724	78540946
5	2.8512159172083917E-5	3.14150308	100000000	28727	78537577
5	7.849954369836784E-5	3.14134604	100000000	29524	78533651
6-------------------
6	6.89288631864517E-5	3.1418092	100000000	36506	78545230
6	1.2931788009071175E-5	3.14163328	100000000	35844	78540832
6	6.867421527749735E-5	3.1418084	100000000	34615	78545210
6	5.354812948608927E-5	3.14176088	100000000	35190	78544022
6	2.6148014483392266E-5	3.1416748	100000000	34515	78541870
6	1.80588625098681E-5	3.14153592	100000000	36189	78538398
6	1.2087369045022765E-5	3.14155468	100000000	34862	78538867
6	8.584613587151015E-5	3.14132296	100000000	35172	78533074
6	4.427486473594856E-5	3.14145356	100000000	35230	78536339
6	2.5876553314526495E-5	3.14151136	100000000	35244	78537784
7-------------------
7	4.545897751256511E-5	3.14144984	100000000	37251	78536246
7	7.074886103262365E-6	3.14161488	100000000	35965	78540372
7	1.980320068615596E-5	3.14153044	100000000	36424	78538261
7	2.6861028628351374E-5	3.14167704	100000000	36946	78541926
7	3.172480368936542E-5	3.14169232	100000000	36348	78542308
7	8.577308765965838E-6	3.1416196	100000000	36861	78540490
7	2.2557478967149997E-5	3.14166352	100000000	36599	78541588
7	5.808086226536371E-5	3.14177512	100000000	37218	78544378
7	2.2909905175229463E-5	3.14152068	100000000	37082	78538017
7	4.4644104203939444E-5	3.1414524	100000000	36384	78536310
8-------------------
8	5.066652725054738E-5	3.14143348	100000000	37461	78535837
8	2.9721736739581765E-5	3.14149928	100000000	37823	78537482
8	3.2157705134488875E-5	3.14169368	100000000	36608	78542342
8	7.303734605157257E-5	3.1413632	100000000	37717	78534080
8	2.4985285633256934E-5	3.14151416	100000000	38150	78537854
8	7.27103846343744E-5	3.14182108	100000000	37624	78545527
8	1.4956238885194687E-5	3.14163964	100000000	37710	78540991
8	1.665829901068983E-5	3.14154032	100000000	37514	78538508
8	5.328074918162359E-5	3.14176004	100000000	37389	78544001
8	1.7654772016135357E-6	3.1415982	100000000	37672	78539955
