NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	3.923658238711456E-4	3.14036	1000000	65	785090
1	4.027762726921346E-6	3.14158	1000000	21	785395
1	0.0011270250411832565	3.138052	1000000	18	784513
1	3.830370588726725E-4	3.142796	1000000	19	785699
1	7.618632859143879E-5	3.141832	1000000	18	785458
1	7.857968431943156E-4	3.139124	1000000	18	784781
1	2.1156580851864237E-4	3.140928	1000000	17	785232
1	1.8441168989392985E-4	3.142172	1000000	18	785543
1	5.281863669724142E-4	3.143252	1000000	19	785813
1	1.0588692630569488E-4	3.14126	1000000	17	785315
2-------------------
2	1.3644467537936934E-4	3.141164	1000000	20	1570582
2	4.158832929648718E-5	3.141462	1000000	29	1570731
2	3.034595873266276E-4	3.142546	1000000	21	1571273
2	9.315827710663726E-4	3.138666	1000000	20	1569333
2	3.032390557396658E-4	3.14064	1000000	19	1570320
2	1.0992717652697202E-4	3.141938	1000000	21	1570969
2	4.32472869530255E-4	3.140234	1000000	19	1570117
2	6.387002132935714E-5	3.141392	1000000	31	1570696
2	1.8504830966624503E-4	3.142174	1000000	23	1571087
2	1.3475534764924416E-4	3.142016	1000000	23	1571008
3-------------------
3	4.475395374762734E-4	3.1401866666666667	1000000	21	2355140
3	3.43142219804382E-4	3.142670666666667	1000000	28	2357003
3	8.042213541096616E-5	3.14134	1000000	20	2356005
3	2.7378812710028542E-5	3.141678666666667	1000000	20	2356259
3	3.876972788736962E-4	3.1403746666666668	1000000	19	2355281
3	2.330110000511859E-6	3.1415853333333335	1000000	19	2356189
3	1.6488868354142227E-4	3.142110666666667	1000000	19	2356583
3	2.455271880412788E-4	3.142364	1000000	19	2356773
3	1.081837363213522E-5	3.1415586666666666	1000000	20	2356169
3	1.9458928125567836E-4	3.140981333333333	1000000	18	2355736
4-------------------
4	9.17835130145043E-5	3.141881	1000000	22	3141881
4	1.969235537542617E-4	3.140974	1000000	24	3140974
4	2.7681933518639354E-4	3.140723	1000000	19	3140723
4	1.201130928848635E-4	3.14197	1000000	19	3141970
4	2.066933819267998E-4	3.142242	1000000	18	3142242
4	1.2180242061484731E-4	3.14121	1000000	18	3141210
4	5.365602023123438E-4	3.139907	1000000	19	3139907
4	1.719976043327231E-4	3.142133	1000000	18	3142133
4	6.79477340342671E-6	3.141614	1000000	17	3141614
4	2.6058553099101285E-4	3.140774	1000000	20	3140774
5-------------------
5	1.4137619328191605E-4	3.1420368	1000000	18	3927546
5	1.4850633473235527E-4	3.1420592	1000000	18	3927574
5	2.8219314076736934E-5	3.1415040000000003	1000000	18	3926880
5	1.5681650809501097E-4	3.1411000000000002	1000000	18	3926375
5	1.6853365806770342E-5	3.1416456	1000000	19	3927057
5	2.209877811496708E-4	3.1408984	1000000	18	3926123
5	7.787565632156396E-5	3.141348	1000000	18	3926685
5	3.341446603548499E-4	3.1426424	1000000	21	3928303
5	6.183283805786367E-5	3.1413984	1000000	21	3926748
5	2.3983507257350928E-5	3.141668	1000000	20	3927085
6-------------------
6	1.725197958134859E-4	3.1410506666666667	1000000	20	4711576
6	4.5242861406082595E-4	3.1430140000000004	1000000	20	4714521
6	2.4807366713068096E-4	3.142372	1000000	22	4713558
6	4.329430701918098E-5	3.141728666666667	1000000	20	4712593
6	1.9607472739112763E-4	3.1409766666666665	1000000	19	4711465
6	2.9704760212327566E-5	3.1414993333333334	1000000	18	4712249
6	3.611714550250146E-4	3.140458	1000000	19	4710687
6	9.654983631093745E-5	3.1412893333333334	1000000	19	4711934
6	3.883796861255045E-5	3.1417146666666667	1000000	21	4712572
6	1.3220886855984197E-4	3.142008	1000000	21	4713012
7-------------------
7	3.998994724836366E-5	3.141718285714286	1000000	21	5498007
7	2.0987648078865857E-4	3.142252	1000000	23	5498941
7	2.3139196714397044E-4	3.140865714285714	1000000	32	5496515
7	6.932676223546132E-5	3.141374857142857	1000000	24	5497406
7	2.5521973576676896E-4	3.140790857142857	1000000	22	5496384
7	1.924149098894362E-4	3.142197142857143	1000000	21	5498845
7	2.7522778575553487E-4	3.1407279999999997	1000000	20	5496274
