NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	7.1242812996423285E-6	3.141570272	1000000000	52812	785392568
1	1.8853363985788728E-5	3.141533424	1000000000	36525	785383356
1	9.696225180067179E-6	3.141562192	1000000000	33308	785390548
1	2.0239448292354253E-6	3.141599012	1000000000	34254	785399753
1	1.6466039839359318E-5	3.141540924	1000000000	34260	785385231
1	2.080804783268588E-5	3.141658024	1000000000	34237	785414506
1	2.457858368135052E-6	3.141584932	1000000000	34166	785396233
1	1.0692159649753304E-5	3.141626244	1000000000	34195	785406561
1	8.372056053532804E-6	3.141566352	1000000000	34285	785391588
1	1.7544734879515686E-5	3.141647772	1000000000	34157	785411943
2-------------------
2	7.764720790625071E-6	3.14156826	1000000000	20459	785392065
2	7.0710663845948306E-6	3.141614868	1000000000	17338	785403717
2	2.069064864875799E-5	3.141527652	1000000000	17291	785381913
2	1.782458643361879E-5	3.141536656	1000000000	17406	785384164
2	5.4693310373836095E-6	3.141609836	1000000000	17264	785402459
2	2.7043283037122173E-7	3.141591804	1000000000	17361	785397951
2	9.401568309027992E-7	3.1415897	1000000000	17360	785397425
2	1.2551089385077689E-5	3.141632084	1000000000	17319	785408021
2	5.7801826335671634E-8	3.141592472	1000000000	17302	785398118
2	2.4018358281961927E-6	3.141585108	1000000000	17358	785396277
3-------------------
3	6.128869121421309E-6	3.141611908	1000000000	11961	785402977
3	5.815652193510644E-6	3.141610924	1000000000	11962	785402731
3	2.62791581564663E-5	3.141675212	1000000000	11969	785418803
3	1.5760926277467832E-5	3.141642168	1000000000	11948	785410542
3	1.6547053612445425E-6	3.141597852	1000000000	11988	785399463
3	2.43779503703492E-5	3.141516068	1000000000	11974	785379017
3	2.953839024523641E-5	3.141499856	1000000000	12001	785374964
3	7.748168676587567E-6	3.141568312	1000000000	11981	785392078
3	3.300924124412453E-5	3.141488952	1000000000	12023	785372238
3	7.555370969073577E-7	3.14159028	1000000000	11980	785397570
4-------------------
4	1.2319098642113271E-5	3.141553952	1000000000	9105	785388488
4	1.2407213316633685E-5	3.141631632	1000000000	9019	785407908
4	2.170367376838238E-6	3.141599472	1000000000	9007	785399868
4	8.503199726606838E-6	3.14156594	1000000000	8983	785391485
4	3.5263674920802564E-6	3.141603732	1000000000	8987	785400933
4	9.735695605968533E-6	3.141562068	1000000000	9001	785390517
4	1.2113094981777976E-5	3.141630708	1000000000	9019	785407677
4	2.510497015046972E-5	3.141513784	1000000000	9002	785378446
4	2.8190029567329457E-5	3.141504092	1000000000	9014	785376023
4	2.9735203838701056E-6	3.141583312	1000000000	8980	785395828
5-------------------
5	7.4326664152506445E-6	3.141616004	1000000000	7220	785404001
5	5.5750099195763425E-6	3.141610168	1000000000	7185	785402542
5	1.7736994050846195E-5	3.141648376	1000000000	7211	785412094
5	1.8420723686397825E-5	3.141650524	1000000000	7209	785412631
5	4.37149004820098E-5	3.141729988	1000000000	7222	785432497
5	4.999505645376253E-6	3.14160836	1000000000	7282	785402090
5	3.774849997548208E-5	3.141711244	1000000000	7225	785427811
5	9.75988715719975E-6	3.141561992	1000000000	7325	785390498
5	1.0513906113584205E-5	3.141625684	1000000000	7209	785406421
5	4.1629872643954655E-6	3.141605732	1000000000	7220	785401433
6-------------------
6	2.9939721847526125E-5	3.141686712	1000000000	6061	785421678
6	1.0244991423735885E-5	3.141560468	1000000000	6016	785390117
6	7.703866438383863E-6	3.141616856	1000000000	6011	785404214
6	4.440553485213669E-6	3.141606604	1000000000	5999	785401651
6	2.241588823199089E-5	3.141522232	1000000000	6033	785380558
6	1.5899448242003022E-5	3.141542704	1000000000	6066	785385676
6	7.127088924533689E-6	3.141615044	1000000000	6047	785403761
6	2.782996392191492E-5	3.141680084	1000000000	6032	785420021
6	3.614803786777959E-5	3.141706216	1000000000	6049	785426554
6	1.747216022553932E-5	3.141647544	1000000000	6012	785411886
7-------------------
7	9.064698365786873E-6	3.141564176	1000000000	5178	785391044
7	2.7792778829298465E-5	3.14150534	1000000000	5338	785376335
7	4.733398580419295E-6	3.141607524	1000000000	5353	785401881
7	2.6967719604320282E-5	3.141507932	1000000000	5362	785376983
7	6.193804338203962E-6	3.141612112	1000000000	5369	785403028
7	1.2319359787987182E-5	3.141631356	1000000000	5320	785407839
7	2.4184417959509963E-5	3.141516676	1000000000	5342	785379169
7	1.74110447274242E-5	3.141647352	1000000000	5445	785411838
7	1.534304256085789E-5	3.141544452	1000000000	5407	785386113
7	4.764968423253028E-6	3.141577684	1000000000	5324	785394421
8-------------------
8	7.974805315501813E-6	3.1415676	1000000000	4795	785391900
8	6.963853117019462E-6	3.141570776	1000000000	4782	785392694
8	1.4366467830100633E-5	3.14154752	1000000000	4795	785386880
8	3.105937296452864E-6	3.141582896	1000000000	4791	785395724
8	3.683914579465102E-5	3.14147692	1000000000	4778	785369230
8	1.0192788602464561E-5	3.141560632	1000000000	4784	785390158
8	1.7244723904709043E-6	3.141587236	1000000000	4820	785396809
8	6.5859621180586944E-6	3.141613344	1000000000	4899	785403336
8	4.989058583149824E-6	3.14157698	1000000000	4933	785394245
8	3.360585205407219E-6	3.141582096	1000000000	4773	785395524
9-------------------
9	2.3593634810781096E-5	3.141518532	1000000000	4441	785379633
9	5.2997290320430374E-6	3.141576004	1000000000	4342	785394001
9	5.2987169382668645E-6	3.1416093	1000000000	4423	785402325
9	7.12199596635743E-6	3.141615028	1000000000	4327	785403757
9	2.560662653104336E-5	3.141512208	1000000000	4315	785378052
9	9.809004963128786E-7	3.141589572	1000000000	4337	785397393
9	9.264858120185004E-6	3.14162176	1000000000	4374	785405440
9	2.389921230149805E-5	3.141517572	1000000000	4329	785379393
9	6.322940069009456E-7	3.14159464	1000000000	4326	785398660
9	3.1394773501401986E-5	3.141494024	1000000000	4337	785373506
10-------------------
10	9.661847712342086E-6	3.1415623	1000000000	4007	785390575
10	8.505746205765646E-6	3.141565932	1000000000	3992	785391483
10	1.977847059775176E-6	3.14158644	1000000000	3994	785396610
10	1.6485399578429544E-5	3.141644444	1000000000	4057	785411111
10	4.744857736421898E-6	3.14160756	1000000000	4065	785401890
10	1.3817701586290569E-5	3.141549244	1000000000	4108	785387311
10	2.814673942276057E-5	3.141504228	1000000000	3969	785376057
10	8.197883381622434E-6	3.141618408	1000000000	3986	785404602
10	1.9553645735377865E-5	3.141531224	1000000000	3995	785382806
10	6.248292492901545E-6	3.141573024	1000000000	3967	785393256
11-------------------
11	7.036688916869736E-6	3.14161476	1000000000	3748	785403690
11	1.2594379529646576E-5	3.14163222	1000000000	3760	785408055
11	4.215190085808148E-6	3.141605896	1000000000	3741	785401474
11	5.9035057220157875E-6	3.1416112	1000000000	3717	785402800
11	1.1134985865638082E-5	3.141557672	1000000000	3749	785389418
11	1.7091935159421244E-6	3.141587284	1000000000	3851	785396821
11	7.827370674122826E-6	3.141617244	1000000000	3866	785404311
11	2.746883744814501E-6	3.141584024	1000000000	3787	785396006
11	1.2535810510548908E-5	3.141632036	1000000000	3749	785408009
11	3.4942753576400613E-6	3.141581676	1000000000	3773	785395419
12-------------------
12	1.2431143722132348E-5	3.1415536	1000000000	3606	785388400
12	9.104168791688227E-6	3.141564052	1000000000	3608	785391013
12	2.1086626147280256E-5	3.141526408	1000000000	3685	785381602
12	2.392977005055561E-5	3.141517476	1000000000	3649	785379369
12	5.99135925066229E-6	3.141611476	1000000000	3617	785402869
12	5.319088770971904E-6	3.141609364	1000000000	3618	785402341
12	7.010962980114527E-6	3.141570628	1000000000	3608	785392657
12	2.605353361118687E-5	3.141510804	1000000000	3577	785377701
12	1.6327256728950217E-5	3.14154136	1000000000	3627	785385340
12	9.416373625964076E-6	3.141622236	1000000000	3649	785405559
13-------------------
13	7.316540470972839E-6	3.141569668	1000000000	3497	785392417
13	3.3060970508509955E-6	3.14160304	1000000000	3421	785400760
13	1.1928214101908623E-5	3.14155518	1000000000	3445	785388795
13	1.7524101901078094E-5	3.1415376	1000000000	3487	785384400
