NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	3.3312272255824035E-5	3.141488	10000000	168	7853720
1	1.9905394465845187E-4	3.142218	10000000	167	7855545
1	1.1973112102136129E-4	3.1419688	10000000	167	7854922
1	5.8013119423689696E-5	3.1414104	10000000	165	7853526
1	1.2355083965553525E-4	3.1419808	10000000	168	7854952
1	4.562857951776432E-5	3.141736	10000000	167	7854340
1	1.2549481529461478E-4	3.1411984	10000000	166	7852996
1	1.8062608758160706E-4	3.1410252	10000000	165	7852563
1	1.2485819552229957E-4	3.1412004	10000000	165	7853001
2-------------------
2	4.056973766081112E-5	3.1414652	20000000	326	15707326
2	2.3092239575940004E-5	3.1416652	20000000	223	15708326
2	1.279776324068844E-4	3.1411906	20000000	166	15705953
2	2.1095873440160856E-4	3.1422554	20000000	169	15711277
2	1.4032805599081724E-4	3.1411518	20000000	175	15705759
2	9.48734042436664E-5	3.1412946	20000000	169	15706473
2	1.9606183172827353E-4	3.1422086	20000000	172	15711043
2	7.91147795443432E-5	3.1418412	20000000	174	15709206
2	2.7964666167923937E-5	3.1415048	20000000	170	15707524
2	8.914382629240544E-5	3.1413126	20000000	173	15706563
3-------------------
3	1.1701487665927575E-4	3.1419602666666666	30000000	296	23564702
3	5.814044337809619E-5	3.14141	30000000	218	23560575
3	6.913772361548893E-6	3.1415709333333335	30000000	181	23561782
3	9.896899144593314E-5	3.1412817333333334	30000000	173	23559613
3	4.261524592858892E-5	3.1417265333333333	30000000	168	23562949
3	4.677449510798824E-5	3.1417395999999997	30000000	173	23563047
3	9.998758308175057E-5	3.1412785333333333	30000000	169	23559589
3	1.5104448882575586E-4	3.141118133333333	30000000	172	23558386
3	2.0070580990480287E-5	3.1415296	30000000	172	23561472
3	3.552754579628519E-5	3.141704266666667	30000000	171	23562782
4-------------------
4	3.407621598254574E-5	3.1414856	40000000	332	31414856
4	8.873002344033694E-5	3.1413139	40000000	221	31413139
4	1.0107481552976868E-5	3.1415609	40000000	192	31415609
4	1.656632375977132E-4	3.1421131	40000000	177	31421131
4	8.233199472805314E-5	3.141334	40000000	179	31413340
4	1.1948047398571543E-6	3.1415889	40000000	177	31415889
4	3.5444948493157735E-5	3.1414813	40000000	173	31414813
4	4.199984681527078E-5	3.1417246	40000000	178	31417246
4	1.4478210906402152E-4	3.1420475	40000000	175	31420475
4	8.000833255889765E-5	3.1413413	40000000	173	31413413
5-------------------
5	9.195768568627332E-5	3.14130376	50000000	411	39266297
5	3.875308597627945E-5	3.1417144	50000000	216	39271430
5	1.637088148965486E-4	3.14210696	50000000	202	39276337
5	9.192356936428077E-5	3.1418814399999997	50000000	199	39273518
5	5.5975936152054854E-5	3.1414168	50000000	197	39267710
5	8.373590438774081E-6	3.1416189599999997	50000000	187	39270237
5	1.7753285019151148E-5	3.14153688	50000000	189	39269211
5	4.2759709677733756E-5	3.14145832	50000000	196	39268229
5	9.949526379109606E-5	3.14128008	50000000	185	39266001
5	6.29191725353551E-5	3.14179032	50000000	183	39272379
6-------------------
6	3.285039659055351E-6	3.1415823333333335	60000000	389	47123735
6	2.7540252986286224E-5	3.1415061333333334	60000000	257	47122592
6	6.519402718854873E-5	3.1417974666666666	60000000	265	47126962
6	2.602069052884441E-5	3.1416744	60000000	208	47125116
6	1.663021427033133E-4	3.1410702	60000000	182	47116053
6	5.627637153923004E-6	3.141610333333333	60000000	184	47124155
6	1.1951058943439948E-4	3.1412172	60000000	184	47118258
6	9.52424804443145E-5	3.1418918666666666	60000000	188	47128378
6	5.558996342570464E-7	3.1415944000000002	60000000	188	47123916
6	4.132078572467871E-5	3.1417224666666663	60000000	190	47125837
7-------------------
7	6.974511237165109E-5	3.1413735428571425	70000000	318	54974037
7	6.097794864928167E-5	3.1414010857142856	70000000	254	54974519
7	1.0407027462116321E-4	3.1419196	70000000	226	54983593
7	1.3758950675794122E-5	3.141549428571429	70000000	195	54977115
7	1.5198154398637712E-5	3.1416404	70000000	184	54978707
7	1.1796785900512169E-5	3.141629714285714	70000000	182	54978520
7	7.818487163954968E-5	3.1413470285714284	70000000	182	54973573
7	1.046136867609231E-4	3.141264	70000000	187	54972120
7	6.932676223546132E-5	3.141374857142857	70000000	184	54974060
7	8.622446990760224E-5	3.1413217714285717	70000000	181	54973131
8-------------------
8	6.985759335107137E-6	3.1416146	80000000	338	62832292
8	5.8013119423689696E-5	3.1414104	80000000	361	62828208
8	9.789506282912611E-5	3.1419002	80000000	242	62838004
8	7.196872259955014E-5	3.14181875	80000000	185	62836375
8	3.931012827710827E-5	3.14171615	80000000	190	62834323
8	3.124325799562291E-5	3.1414945	80000000	189	62829890
8	1.1349224725219162E-4	3.1419492	80000000	189	62838984
8	1.6216746034455135E-5	3.1416436	80000000	186	62832872
8	9.409125968930597E-5	3.14188825	80000000	189	62837765
8	8.658143170864942E-5	3.14132065	80000000	191	62826413
9-------------------
9	3.6820754556815864E-5	3.141476977777778	90000000	340	70683232
9	2.858131672433889E-5	3.1416824444444442	90000000	297	70687855
9	4.474648010652942E-6	3.141606711111111	90000000	193	70686151
9	2.9133053860524456E-5	3.141684177777778	90000000	190	70687894
9	4.87126486372598E-5	3.141745688888889	90000000	190	70689278
9	5.3231397577926086E-5	3.141425422222222	90000000	188	70682072
9	1.3973178281809407E-5	3.1415487555555557	90000000	188	70684847
9	5.7002852784156585E-5	3.1417717333333335	90000000	191	70689864
9	2.016961073298493E-5	3.1415292888888886	90000000	189	70684409
9	6.23138396635878E-5	3.141396888888889	90000000	188	70681430
10-------------------
10	4.6694019870944256E-5	3.14144596	100000000	382	78536149
10	3.2933646553396665E-6	3.141603	100000000	204	78540075
10	1.2011709375421396E-6	3.14158888	100000000	244	78539722
10	4.337421082038387E-6	3.14160628	100000000	273	78540157
10	9.583168006271929E-6	3.1416227599999997	100000000	284	78540569
10	3.9746212821074215E-5	3.14171752	100000000	261	78542938
10	2.122057744524565E-5	3.14165932	100000000	224	78541483
10	8.900376994248762E-5	3.14131304	100000000	207	78532826
10	5.813644249969881E-7	3.1415944799999997	100000000	190	78539862
10	1.2675532244387525E-4	3.14119444	100000000	237	78529861
11-------------------
11	5.558996341156884E-7	3.1415944	110000000	396	86393846
11	7.976297422152734E-5	3.141843236363636	110000000	238	86400689
11	6.227268444599329E-5	3.1413970181818183	110000000	218	86388418
11	7.569683642261719E-6	3.1415688727272726	110000000	200	86393144
11	4.466786240671568E-5	3.1417329818181816	110000000	210	86397657
11	6.01197521248209E-5	3.141403781818182	110000000	198	86388604
11	1.3886843977194768E-6	3.141588290909091	110000000	205	86393678
11	3.633393084128376E-5	3.1417068	110000000	208	86396937
11	2.1055056304446522E-5	3.1416588	110000000	197	86395617
11	5.243127746782985E-6	3.141576181818182	110000000	192	86393345
12-------------------
12	1.8632555007386483E-6	3.1415868000000002	120000000	376	94247604
12	1.2301534434440951E-5	3.1416313000000002	120000000	247	94248939
12	3.0116277731111164E-5	3.1416872666666666	120000000	222	94250618
12	5.8501194582318616E-5	3.141408866666667	120000000	228	94242266
12	3.557227244770559E-5	3.1414809	120000000	242	94244427
12	4.220372840980532E-5	3.1414600666666668	120000000	207	94243802
12	6.234711271098184E-6	3.1415730666666666	120000000	228	94247192
12	2.2697941845954864E-7	3.1415933666666667	120000000	272	94247801
12	2.2479125796048125E-5	3.141522033333333	120000000	233	94245661
12	9.665365427320334E-5	3.1418963000000004	120000000	229	94256889
13-------------------
13	3.46493369820255E-5	3.1417015076923076	130000000	366	102105299
13	4.802814635210384E-5	3.1417435384615384	130000000	278	102106665
13	2.704907631498992E-5	3.1416776307692307	130000000	272	102104523
13	4.386563245574001E-5	3.141730461538461	130000000	273	102106240
13	6.044206870887212E-5	3.1414027692307696	130000000	275	102095590
13	1.316097112714423E-5	3.1416340000000003	130000000	263	102103105
13	8.817102245130938E-6	3.141564953846154	130000000	256	102100861
13	7.075457603279994E-7	3.1415904307692304	130000000	262	102101689
13	7.929107425053149E-5	3.141841753846154	130000000	295	102109857
13	6.559885206953027E-5	3.1417987384615387	130000000	338	102108459
14-------------------
14	6.967570198621993E-6	3.1416145428571425	140000000	411	109956509
14	1.1733123923379599E-5	3.1416295142857145	140000000	429	109957033
14	3.8389303249121026E-5	3.141713257142857	140000000	316	109959964
14	4.962109494741629E-5	3.141748542857143	140000000	393	109961199
14	3.275175518995881E-6	3.141602942857143	140000000	397	109956103
14	1.0268898446927396E-5	3.1416249142857144	140000000	289	109956872
14	2.6102541642462126E-5	3.141674657142857	140000000	285	109958613
14	2.987452548501092E-5	3.1414988	140000000	296	109952458
14	1.0255148173567964E-4	3.1419148285714287	140000000	281	109967019
14	3.4778759683112625E-5	3.1417019142857145	140000000	278	109959567
15-------------------
15	7.279118640624531E-5	3.141363973333333	150000000	402	117801149
15	3.164857258392295E-5	3.141493226666667	150000000	297	117805996
