NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	1.1056379629928723E-4	3.14194	1000000	38	785485
1	2.271026771257915E-5	3.141664	1000000	37	785416
1	9.356230212876497E-4	3.144532	1000000	37	786133
1	2.0351028306494104E-4	3.142232	1000000	38	785558
1	2.7013482757644775E-4	3.140744	1000000	38	785186
1	2.3321088077919713E-4	3.14086	1000000	38	785215
1	1.2498551947670607E-4	3.1412	1000000	39	785300
1	7.745956813621057E-5	3.141836	1000000	38	785459
1	4.314201615725864E-4	3.142948	1000000	37	785737
2-------------------
2	9.661807703613242E-4	3.144628	1000000	153	786157
2	0.0010671827825806794	3.13824	1000000	38	784560
2	3.544266315987283E-5	3.141704	1000000	21	785426
2	5.460117205987949E-4	3.143308	1000000	19	785827
2	9.401168221767822E-5	3.141888	1000000	18	785472
2	8.176278318126205E-4	3.139024	1000000	19	784756
2	1.0547083812034148E-4	3.141924	1000000	19	785481
2	3.39746914351563E-4	3.14266	1000000	19	785665
2	0.0010353517939623745	3.13834	1000000	19	784585
2	5.922644323945187E-4	3.139732	1000000	19	784933
3-------------------
3	3.1497176615870716E-4	3.1406031406031407	999999	174	785150
3	4.7667335004171956E-4	3.14009514009514	999999	39	785023
3	4.36240316447113E-4	3.142963142963143	999999	13	785740
3	3.9549661027179345E-4	3.1428351428351426	999999	15	785708
3	5.279136553413347E-4	3.143251143251143	999999	13	785812
3	2.274288222990066E-4	3.1423071423071423	999999	15	785576
3	2.22335859027074E-4	3.142291142291142	999999	23	785572
3	2.9587315388924254E-4	3.1406631406631402	999999	15	785165
3	1.2429631604293656E-4	3.141983141983142	999999	15	785495
3	3.369275326449924E-4	3.1426511426511428	999999	13	785662
4-------------------
4	0.0017623715740061373	3.136056	1000000	148	784014
4	4.986438633729169E-5	3.141436	1000000	50	785359
4	4.1359480794620564E-4	3.142892	1000000	15	785723
4	1.0970664493986884E-4	3.141248	1000000	12	785312
4	1.1989256129776033E-4	3.141216	1000000	18	785304
4	3.2743060708962274E-4	3.140564	1000000	11	785141
4	2.9009057210701867E-4	3.142504	1000000	11	785626
4	2.913638116516491E-4	3.142508	1000000	12	785627
4	3.652117052462917E-4	3.14274	1000000	11	785685
4	1.5172354991620658E-4	3.141116	1000000	10	785279
5-------------------
5	2.2642859487026756E-4	3.142304	1000000	170	785576
5	3.448398725306501E-4	3.1426760000000002	1000000	34	785669
5	1.3475534764924416E-4	3.142016	1000000	33	785504
5	2.0010665261612046E-4	3.140964	1000000	10	785241
5	7.259545845917385E-4	3.139312	1000000	9	784828
5	1.4748774309653785E-4	3.1420559999999997	1000000	10	785514
5	4.522080824735814E-4	3.140172	1000000	9	785043
5	5.708773542042759E-5	3.141772	1000000	9	785443
5	6.132354223995495E-5	3.1414	1000000	8	785350
5	8.978419231308393E-4	3.1387720000000003	1000000	9	784693
6-------------------
6	6.430163048834032E-4	3.139572558290233	999996	132	784890
6	1.0698031240581317E-4	3.1412565650262603	999996	48	785311
6	3.9600684516684836E-4	3.1403485613942457	999996	14	785084
6	2.457639779166996E-4	3.140820563282253	999996	9	785202
6	0.0013916286261831058	3.145964583858335	999996	9	786488
6	1.0310505281701305E-4	3.141916567666271	999996	9	785476
6	2.686268557197002E-4	3.142436569746279	999996	9	785606
6	5.398834892284866E-4	3.1398965595862385	999996	9	784971
6	5.666216266205701E-4	3.139812559250237	999996	9	784950
6	0.0012529004863481676	3.1376565506262026	999996	10	784411
7-------------------
7	6.180030808370015E-4	3.1396511396511397	999999	150	784912
7	5.339691868506788E-4	3.1399151399151397	999999	18	784978
7	6.663862319200787E-4	3.1394991394991396	999999	13	784874
7	2.6658861507577135E-4	3.1407551407551404	999999	8	785188
7	1.4945045982188662E-4	3.141123141123141	999999	8	785280
7	2.796316958360332E-4	3.1424711424711425	999999	8	785617
