NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	2.4807366713068096E-4	3.142372	1000000	138	785593
1	7.306314545853308E-4	3.143888	1000000	81	785972
1	7.395441313984506E-4	3.143916	1000000	94	785979
1	9.869686912624604E-4	3.138492	1000000	63	784623
1	2.1114972033343032E-4	3.142256	1000000	82	785564
1	1.2711591038089623E-4	3.141992	1000000	67	785498
1	0.0011193856039149084	3.138076	1000000	97	784519
1	9.042081208545568E-4	3.138752	1000000	68	784688
1	4.3947568702628774E-4	3.140212	1000000	67	785053
1	1.2753199856610828E-4	3.141192	1000000	130	785298
2-------------------
2	3.906764961410204E-4	3.14282	1000000	203	785705
2	8.678833313468367E-5	3.14132	1000000	187	785330
2	2.3916099031756125E-4	3.142344	1000000	162	785586
2	5.553404855971267E-4	3.139848	1000000	145	784962
2	4.891320292709734E-4	3.140056	1000000	190	785014
2	3.162294452569887E-5	3.141692	1000000	194	785423
2	6.656962378038079E-4	3.143684	1000000	162	785921
2	5.578869646866702E-4	3.13984	1000000	131	784960
2	4.250539638488689E-4	3.142928	1000000	229	785732
2	4.8849140863397255E-6	3.141608	1000000	151	785402
3-------------------
3	2.765010253001653E-4	3.140724	1000000	240	785181
3	6.699320446233353E-4	3.139488	1000000	217	784872
3	5.332793251513599E-4	3.143268	1000000	182	785817
3	0.0012148785697699645	3.137776	1000000	246	784444
3	5.167272110697509E-4	3.143216	1000000	234	785804
3	0.0010744061316638152	3.144968	1000000	207	786242
3	3.7157790297000925E-4	3.14276	1000000	225	785690
3	5.623058406100921E-5	3.141416	1000000	250	785354
3	2.1878915760177828E-4	3.14228	1000000	245	785570
3	0.001279397698366134	3.145612	1000000	251	786403
4-------------------
4	3.4143624208168817E-4	3.14052	1000000	283	785130
4	9.655816130722176E-5	3.141896	1000000	282	785474
4	6.661123259891613E-4	3.1395	1000000	276	784875
4	5.0721537696710064E-5	3.141752	1000000	275	785438
4	2.866869416580568E-4	3.140692	1000000	278	785173
4	7.751948386510708E-4	3.144028	1000000	319	786007
4	2.85413702113285E-4	3.140696	1000000	286	785174
4	0.0018994653566521775	3.14756	1000000	320	786890
4	2.9814609756072003E-4	3.140656	1000000	254	785164
4	3.6775818433583526E-4	3.142748	1000000	318	785687
5-------------------
5	2.1029256897401195E-4	3.140932	1000000	318	785233
5	4.076446984078415E-4	3.140312	1000000	342	785078
5	7.548230059352878E-4	3.143964	1000000	343	785991
5	6.313187700959595E-4	3.143576	1000000	320	785894
5	4.696173479146088E-4	3.143068	1000000	340	785767
5	7.873280768098233E-5	3.14184	1000000	300	785460
5	2.281179226002514E-4	3.140876	1000000	333	785219
5	3.4143624208168817E-4	3.14052	1000000	335	785130
5	1.9459760625182133E-4	3.142204	1000000	330	785551
5	2.7608493711481186E-4	3.14246	1000000	307	785615
6-------------------
6	6.877573982497161E-4	3.139432	1000000	368	784858
6	2.3575735986859932E-4	3.140852	1000000	308	785213
6	9.442777040303161E-5	3.141296	1000000	299	785324
6	2.1878915760177828E-4	3.14228	1000000	296	785570
6	5.336954133367133E-4	3.139916	1000000	343	784979
6	1.2940439540041059E-5	3.141552	1000000	332	785388
6	6.313187700959595E-4	3.143576	1000000	369	785894
