NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	2.6933342136595186E-5	3.14150804	100000000	1892	78537701
1	6.74137081282369E-5	3.14180444	100000000	2117	78545111
1	2.931430008533961E-5	3.14150056	100000000	1812	78537514
1	3.860894876182018E-5	3.14147136	100000000	1818	78536784
1	1.2125566231415395E-5	3.14155456	100000000	1829	78538864
1	4.9932129178965704E-5	3.14174952	100000000	1814	78543738
1	7.591894828711446E-5	3.14183116	100000000	1819	78545779
1	3.700466693545015E-5	3.1414764	100000000	1852	78536910
1	2.884320145368217E-5	3.14150204	100000000	1806	78537551
2-------------------
2	6.022855623149363E-5	3.14140344	100000000	1184	78535086
2	1.2384295004769836E-5	3.14163156	100000000	959	78540789
2	8.195336902604984E-6	3.1416184	100000000	957	78540460
2	2.2022718358359986E-5	3.14166184	100000000	916	78541546
2	1.8928746264656454E-5	3.14165212	100000000	945	78541303
2	2.0291112577583458E-5	3.1416564	100000000	1015	78541410
2	2.2468352199136126E-5	3.14166324	100000000	1051	78541581
2	1.9688609127119433E-5	3.1415308	100000000	964	78538270
2	4.963520321921863E-5	3.14143672	100000000	970	78535918
2	9.548864008964175E-5	3.14189264	100000000	997	78547316
3-------------------
3	6.912984980958186E-5	3.1418098314180987	99999999	863	78545245
3	8.39121610717408E-5	3.141856271418563	99999999	681	78546406
3	5.9122186887778006E-5	3.141778391417784	99999999	651	78544459
3	6.658475462093945E-5	3.141383471413835	99999999	654	78534586
3	1.86600176779681E-5	3.14153403141534	99999999	658	78538350
3	4.432852715659468E-5	3.1414533914145335	99999999	654	78536334
3	5.95308689433353E-6	3.1415739514157397	99999999	664	78539348
3	9.30794858855562E-5	3.141885071418851	99999999	636	78547126
3	6.538652551045056E-5	3.1417980714179805	99999999	630	78544951
3	1.329843374334216E-6	3.1415968314159683	99999999	653	78539920
4-------------------
4	4.098125517959472E-5	3.1417214	100000000	653	78543035
4	2.5774694151001298E-5	3.14151168	100000000	543	78537792
4	6.136582029074766E-5	3.14178544	100000000	505	78544636
4	9.832388340999083E-5	3.14128376	100000000	512	78532094
4	1.6000295311752048E-5	3.14164292	100000000	501	78541073
4	2.898660396467484E-6	3.14160176	100000000	503	78540044
4	5.446078109384005E-5	3.14142156	100000000	502	78535539
4	3.270111727424877E-5	3.14148992	100000000	521	78537248
4	3.2510866045469514E-6	3.14158244	100000000	535	78539561
4	8.357976948194361E-5	3.14133008	100000000	489	78533252
5-------------------
5	8.649622274351008E-6	3.1415654799999997	100000000	623	78539137
5	1.4421478276263318E-5	3.1416379599999997	100000000	426	78540949
5	4.868100826286952E-6	3.1415773600000003	100000000	413	78539434
5	1.48161825351355E-5	3.1416391999999997	100000000	527	78540980
5	1.263894291372419E-5	3.14163236	100000000	416	78540809
5	2.5638718665483556E-5	3.1416732	100000000	420	78541830
5	4.771669237116176E-5	3.14174256	100000000	406	78543564
5	9.638855930202256E-5	3.1412898399999998	100000000	438	78532246
5	1.3339224663313327E-5	3.14163456	100000000	398	78540864
5	4.8124129025545275E-5	3.14174384	100000000	421	78543596
6-------------------
6	9.907329589057645E-5	3.1412814056512564	99999996	525	78532032
6	8.634089993396995E-5	3.1413214056528562	99999996	384	78533032
6	1.8026549722679906E-5	3.1416492856659715	99999996	364	78541229
6	2.5263596529923567E-5	3.1415132856605315	99999996	369	78537829
6	3.627711903256489E-5	3.141478685659147	99999996	349	78536964
6	8.253391354292339E-5	3.1413333656533347	99999996	356	78533331
6	5.30074873195317E-5	3.141426125657045	99999996	343	78535650
6	9.131650852768837E-6	3.141563965662559	99999996	367	78539096
6	4.288294485480284E-6	3.141606125664245	99999996	351	78540150
6	9.036433705620106E-5	3.141308765652351	99999996	340	78532716
7-------------------
7	2.008776681830536E-6	3.1415863428317268	99999998	454	78539657
7	1.6892947257495506E-5	3.1415395828307915	99999998	352	78538488
7	2.6187596119861822E-5	3.141510382830208	99999998	307	78537758
7	7.387731346322709E-6	3.1416158628323174	99999998	358	78540395
7	5.741331405953108E-5	3.141773022835461	99999998	315	78544324
7	3.3998438363488164E-5	3.1416994628339894	99999998	318	78542485
7	3.715018881937394E-5	3.1414759428295187	99999998	334	78536897
7	2.1674491085069145E-6	3.1415994628319894	99999998	396	78539985
7	6.953455476767844E-5	3.141811102836222	99999998	304	78545276
7	1.9261172858083527E-5	3.1415321428306426	99999998	315	78538302
8-------------------
8	3.2459201760805744E-5	3.14149068	100000000	497	78537267
8	3.8663959208124224E-5	3.14171412	100000000	384	78542853
8	6.031768299964886E-5	3.14140316	100000000	330	78535079
8	1.009246382418064E-5	3.14162436	100000000	256	78540609
8	4.890080514777831E-5	3.14174628	100000000	264	78543657
8	3.894407190795988E-5	3.141715	100000000	356	78542875
8	9.761421542582386E-6	3.14162332	100000000	330	78540583
8	1.3619337363148982E-5	3.14163544	100000000	295	78540886
8	4.2857567970918986E-7	3.141594	100000000	291	78539850
8	5.465176702552048E-5	3.14142096	100000000	279	78535524
9-------------------
9	2.892094458464244E-5	3.141683511416835	99999999	422	78542087
9	5.7290105851445334E-5	3.141412671414127	99999999	313	78535316
9	3.149427241728139E-5	3.141493711414937	99999999	266	78537342
9	6.792165615641417E-5	3.1413792714137925	99999999	327	78534481
9	1.7259315636513704E-6	3.141587231415872	99999999	288	78539680
9	8.529999218940218E-5	3.1418606314186066	99999999	277	78546515
9	9.350103886589601E-5	3.141298911412989	99999999	251	78532472
9	3.76426355532996E-5	3.141710911417109	99999999	262	78542772
9	1.3095960811811227E-5	3.141551511415515	99999999	261	78538787
9	2.981221227495891E-5	3.1416863114168634	99999999	300	78542157
10-------------------
10	8.848582259360902E-5	3.14187064	100000000	405	78546766
10	5.6001400942936154E-5	3.14141672	100000000	391	78535418
10	7.253213109806395E-5	3.14182052	100000000	271	78545513
10	1.4853645017778808E-6	3.14159732	100000000	262	78539933
