NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	1.1037281036760679E-4	3.1419394	100000000	1740	78548485
1	7.768875125428361E-5	3.14183672	100000000	1660	78545918
1	3.750123035798889E-5	3.14147484	100000000	1667	78536871
1	3.7348441612559735E-5	3.14147532	100000000	1676	78536883
1	5.3624523858733173E-5	3.14176112	100000000	1666	78544028
1	8.970405169207675E-5	3.14131084	100000000	1665	78532771
1	1.1336157713671029E-5	3.14155704	100000000	1657	78538926
1	2.3342806620494273E-5	3.14151932	100000000	1686	78537983
1	3.1966719202808445E-5	3.14169308	100000000	1668	78542327
1	5.103576671853826E-5	3.14143232	100000000	1658	78535808
2-------------------
2	2.9407507717894926E-5	3.14168504	100000000	830	78542126
2	3.3112634793032366E-5	3.14169668	100000000	830	78542417
2	7.144579662057252E-5	3.1413682	100000000	832	78534205
2	1.0059024979955738E-4	3.14127664	100000000	837	78531916
2	7.720157406547458E-6	3.1415684	100000000	838	78539210
2	8.11486166541964E-6	3.14156716	100000000	834	78539179
2	4.14643515035796E-6	3.14160568	100000000	830	78540142
2	4.589187895768856E-5	3.14144848	100000000	845	78536212
2	4.48478225311312E-5	3.14145176	100000000	855	78536294
2	8.61142508795838E-6	3.1415656	100000000	848	78539140
3-------------------
3	4.4253480809467345E-5	3.14173168	100000000	568	78543292
3	2.6122549692510966E-5	3.14167472	100000000	569	78541868
3	1.2647594444694075E-5	3.14155292	100000000	571	78538823
3	1.448105938913716E-5	3.14154716	100000000	561	78538679
3	1.192941387116964E-4	3.14121788	100000000	570	78530447
3	4.4695033785702045E-5	3.14145224	100000000	573	78536306
3	3.0778525561791816E-5	3.14149596	100000000	563	78537399
3	1.3896568967789025E-4	3.14115608	100000000	577	78528902
3	2.594429615620051E-5	3.14167416	100000000	575	78541854
3	9.697759565449815E-6	3.14162312	100000000	564	78540578
4-------------------
4	3.164840931658016E-5	3.14169208	100000000	432	78542302
4	3.437314194229281E-5	3.14170064	100000000	431	78542516
4	6.957413448987816E-5	3.14137408	100000000	434	78534352
4	1.3721196526815539E-5	3.14163576	100000000	429	78540894
4	6.847914848141684E-5	3.14137752	100000000	440	78534438
4	2.8363451291196205E-5	3.14168176	100000000	425	78542044
4	4.352773426899691E-5	3.1417294	100000000	431	78543235
4	2.705201456017316E-5	3.14167764	100000000	435	78541941
4	7.253213109806395E-5	3.14182052	100000000	431	78545513
4	5.310249564545449E-5	3.14175948	100000000	446	78543987
5-------------------
5	1.4901228438890642E-5	3.14154584	100000000	350	78538646
5	4.689847290117854E-6	3.14157792	100000000	366	78539448
5	4.019111195810103E-6	3.14160528	100000000	374	78540132
5	2.3015845203296107E-5	3.14166496	100000000	370	78541624
5	8.881686487520727E-5	3.14187168	100000000	367	78546792
5	9.610844660204554E-5	3.14129072	100000000	382	78532268
5	5.648857813061433E-6	3.1416104	100000000	379	78540260
5	3.6830494263681136E-5	3.14170836	100000000	359	78542709
5	2.7166606119209687E-5	3.141678	100000000	369	78541950
5	3.75944379905442E-5	3.14171076	100000000	366	78542769
6-------------------
6	4.024277624361295E-5	3.14171908	100000000	328	78542977
6	2.6207595596124752E-5	3.14151032	100000000	321	78537758
6	7.147199611506177E-6	3.1415702	100000000	311	78539255
6	1.443086450985166E-6	3.14158812	100000000	309	78539703
6	1.7473172319315494E-5	3.14153776	100000000	340	78538444
6	1.4304005622101855E-4	3.14114328	100000000	335	78528582
6	7.861821612194582E-5	3.14183964	100000000	305	78545991
6	3.1733455220335307E-5	3.14149296	100000000	306	78537324
6	4.598100572584379E-5	3.1414482	100000000	308	78536205
6	3.472556815037228E-5	3.14148356	100000000	313	78537089
7-------------------
7	7.568976516904141E-5	3.14183044	100000000	263	78545761
7	2.0797062234417328E-6	3.14158612	100000000	265	78539653
7	1.4994436071445957E-5	3.14163976	100000000	262	78540994
7	6.898844429918419E-5	3.14137592	100000000	267	78534398
7	5.346765424890393E-5	3.14142468	100000000	263	78535617
7	6.240987671744638E-5	3.14178872	100000000	270	78544718
7	3.6266187999609744E-5	3.14147872	100000000	265	78536968
7	1.4077703599295093E-5	3.14163688	100000000	274	78540922
7	9.418993575398868E-5	3.14188856	100000000	260	78547214
7	1.1695545881388605E-4	3.14196008	100000000	258	78549002
8-------------------
8	5.033956583334921E-5	3.1417508	100000000	232	78543770
8	7.087691968993131E-5	3.14181532	100000000	230	78545383
8	2.5978412478051695E-5	3.14151104	100000000	241	78537776
8	8.601573787685072E-5	3.14186288	100000000	228	78546572
8	1.1964125955016353E-5	3.14163024	100000000	229	78540756
8	7.27860443045412E-6	3.14161552	100000000	238	78540388
8	3.3074437606781096E-5	3.14169656	100000000	238	78542414
8	3.2497398947198374E-5	3.14149056	100000000	227	78537264
8	9.75333981109356E-8	3.14159296	100000000	227	78539824
8	1.0856072934964492E-4	3.1412516	100000000	237	78531290
9-------------------
9	3.8061455757660195E-5	3.14147308	100000000	205	78536827
9	8.537503723999408E-5	3.14132444	100000000	206	78533111
9	3.3265423538461526E-5	3.14169716	100000000	224	78542429
9	3.2043113575452345E-5	3.14169332	100000000	206	78542333
9	3.860894876182018E-5	3.14147136	100000000	207	78536784
9	7.940688993650629E-6	3.1416176	100000000	207	78540440
9	7.08855712209012E-5	3.14136996	100000000	205	78534249
9	6.555477839291252E-5	3.1417986	100000000	215	78544965
9	5.5381594430532355E-5	3.14176664	100000000	208	78544166
9	6.714632782377122E-5	3.1418036	100000000	251	78545090
10-------------------
10	3.7297512030797135E-5	3.14147548	100000000	205	78536887
10	3.8460240880932464E-5	3.14171348	100000000	198	78542837
10	8.128793830135442E-5	3.14133728	100000000	195	78533432
10	6.789753915526432E-5	3.14180596	100000000	186	78545149
10	4.90629801267958E-6	3.14157724	100000000	185	78539431
10	2.1076440230927737E-5	3.14152644	100000000	205	78538161
10	6.205336964482547E-5	3.1417876	100000000	196	78544690
10	2.113902532567848E-8	3.14159272	100000000	191	78539818
10	8.90835104770545E-6	3.14162064	100000000	202	78540516
10	8.856221696625292E-5	3.14187088	100000000	188	78546772
11-------------------
11	4.390970613235776E-5	3.1417306	100000000	172	78543265
11	4.169018846015374E-5	3.14146168	100000000	176	78536542
11	4.5649963444245535E-5	3.14144924	100000000	175	78536231
11	3.977167761209687E-5	3.1417176	100000000	179	78542940
11	5.9290439832861555E-5	3.14177892	100000000	184	78544473
11	2.5536859501817E-5	3.14167288	100000000	198	78541822
11	1.0542856006954877E-4	3.14126144	100000000	241	78531536
11	2.5804239806282683E-5	3.14167372	100000000	195	78541843
11	5.9502809691023194E-5	3.14140572	100000000	172	78535143
11	3.764463286855748E-6	3.14160448	100000000	190	78540112
12-------------------
12	1.5541929075747297E-5	3.14164148	100000000	177	78541037
12	4.999579115623963E-5	3.14174972	100000000	183	78543743
12	1.383578808571071E-5	3.14163612	100000000	182	78540903
12	2.5613253874602256E-5	3.14167312	100000000	173	78541828
12	4.1503283392873396E-5	3.14172304	100000000	220	78543076
12	1.5066749579689769E-5	3.14154532	100000000	216	78538633
12	8.560422035806712E-5	3.14132372	100000000	172	78533093
12	2.936522966710221E-5	3.1415004	100000000	183	78537510
12	1.1552608436232756E-5	3.14155636	100000000	175	78538909
12	5.761841516481751E-5	3.14141164	100000000	178	78535291
13-------------------
13	8.178523642693568E-6	3.14156696	100000000	209	78539174
13	2.1649398025969015E-5	3.14152464	100000000	191	78538116
13	1.7320383573886338E-5	3.14153824	100000000	218	78538456
13	2.1725792398612915E-5	3.1415244	100000000	215	78538110
13	8.163579384286408E-5	3.14184912	100000000	180	78546228
13	4.404568161787551E-5	3.14145428	100000000	214	78536357
13	4.0798920778884174E-5	3.14146448	100000000	226	78536612
13	4.218675188255112E-5	3.14146012	100000000	180	78536503
13	7.974805315501813E-6	3.1415676	100000000	208	78539190
13	5.2975171690906636E-5	3.14175908	100000000	200	78543977
14-------------------
14	6.243199534725285E-6	3.14157304	100000000	213	78539326
14	4.2925230818532886E-5	3.1414578	100000000	196	78536445
14	4.8323766488195584E-5	3.14144084	100000000	178	78536021
14	1.65691722425346E-5	3.1415406	100000000	176	78538515
14	2.1815653869669317E-6	3.1415858	100000000	200	78539645
14	1.767689064636589E-5	3.14153712	100000000	173	78538428
14	8.068012948057128E-6	3.141618	100000000	192	78540450
14	5.2245344286036114E-5	3.14142852	100000000	198	78535713
14	4.86810082642831E-6	3.14157736	100000000	193	78539434
14	4.267466377397862E-5	3.14172672	100000000	202	78543168
15-------------------
15	1.7702355437388548E-5	3.14153704	100000000	239	78538426
15	5.428660842207104E-5	3.1417632	100000000	218	78544080
15	5.985931676350275E-5	3.1414046	100000000	228	78535115
15	7.059680699009566E-5	3.14181444	100000000	194	78545361
15	2.688241255483259E-5	3.1415082	100000000	198	78537705
15	2.596976094708181E-5	3.14167424	100000000	221	78541856
15	4.017503340193894E-5	3.14146644	100000000	199	78536661
15	2.549866231556573E-5	3.14167276	100000000	187	78541819
15	6.945954293084163E-5	3.14137444	100000000	239	78534361
15	4.384604415522519E-5	3.1417304	100000000	193	78543260
16-------------------
16	7.054179654379162E-5	3.14137104	100000000	193	78534276
16	8.138114593390973E-5	3.14184832	100000000	182	78546208
16	5.023362580528257E-5	3.14143484	100000000	209	78535871
16	1.016852358080187E-4	3.1412732	100000000	186	78531830
16	7.17895712976821E-5	3.14136712	100000000	190	78534178
16	8.676694920820247E-5	3.14186524	100000000	179	78546631
16	6.821584904135123E-5	3.14180696	100000000	192	78545174
16	5.8157256638007604E-5	3.14177536	100000000	211	78544384
16	3.548086034626546E-5	3.14170412	100000000	216	78542603
16	1.0508552009534035E-5	3.14155964	100000000	230	78538991
