NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	1.1683678639044943E-4	3.1412256	10000000	353	7853064
1	1.1858520543113737E-4	3.1419652	10000000	353	7854913
1	3.468770558021436E-4	3.1426824	10000000	352	7856706
1	8.831956674920193E-6	3.1416204	10000000	342	7854051
1	1.4774239100563357E-4	3.1420568	10000000	351	7855142
1	2.583869074431203E-4	3.1424044	10000000	346	7856011
1	9.837481299175343E-5	3.1412836	10000000	347	7853209
1	2.130970421340088E-5	3.1416596	10000000	347	7854149
1	1.201130928848635E-4	3.14197	10000000	342	7854925
2-------------------
2	1.224390403873039E-4	3.141208	10000000	341	7853020
2	2.435241210914951E-4	3.1408276	10000000	193	7852069
2	9.633762972011859E-5	3.14129	10000000	178	7853225
2	1.2702270274834093E-4	3.1411936	10000000	182	7852984
2	4.2454466803096015E-4	3.1429264	10000000	177	7857316
2	8.373255822723141E-5	3.1413296	10000000	181	7853324
2	1.6926013931164047E-4	3.1421244	10000000	182	7855311
2	1.65567744631873E-4	3.1421128	10000000	179	7855282
2	4.1117565281120993E-4	3.1428844	10000000	177	7857211
2	8.624492099492378E-5	3.1418636	10000000	181	7854659
3-------------------
3	8.235932691857E-5	3.141333914133391	9999999	263	7853334
3	1.7598100254222204E-4	3.142145514214551	9999999	133	7855363
3	4.6029426832118E-6	3.1416071141607116	9999999	121	7854017
3	6.368126346670019E-5	3.1417927141792714	9999999	122	7854481
3	2.9617482758467187E-4	3.1425231142523113	9999999	122	7856307
3	5.2604078319716604E-5	3.141757914175791	9999999	123	7854394
3	9.229059636054698E-5	3.1413027141302714	9999999	122	7853256
3	8.256778004704694E-6	3.141566714156671	9999999	123	7853916
3	3.996044583883863E-5	3.1414671141467116	9999999	123	7853667
3	1.4113680496018281E-5	3.1415483141548317	9999999	122	7853870
4-------------------
4	1.2001988525216684E-4	3.1412156	10000000	246	7853039
4	6.154407382705812E-5	3.141786	10000000	129	7854465
4	1.379725628329541E-4	3.1411592	10000000	93	7852898
4	2.427601773647734E-4	3.14083	10000000	92	7852075
4	9.235647080954559E-5	3.1418828	10000000	92	7854707
4	7.465509497593103E-6	3.1415692	10000000	93	7853923
4	3.336694808587924E-4	3.1405444	10000000	92	7851361
4	2.0949450892515634E-4	3.1422508	10000000	92	7855627
4	3.377438474019207E-4	3.1405316	10000000	91	7851329
4	6.332660918959726E-5	3.1417916	10000000	91	7854479
5-------------------
5	1.7014806083169384E-5	3.1415392	10000000	211	7853848
5	1.2176830429299613E-4	3.1419752	10000000	117	7854938
5	8.038801908897361E-5	3.1418451999999997	10000000	79	7854613
5	4.830238256171437E-5	3.1417444	10000000	79	7854361
5	7.554970881898222E-5	3.1418299999999997	10000000	75	7854575
5	3.5591705656981115E-4	3.1427108	10000000	76	7856777
5	2.312635589793255E-5	3.14152	10000000	76	7853800
5	1.1973112102136129E-4	3.1419688	10000000	77	7854922
5	2.9403761469559914E-4	3.1425164	10000000	78	7856291
5	2.4196211731605916E-4	3.1423528000000003	10000000	75	7855882
6-------------------
6	2.973112523772504E-5	3.141686056674423	9999996	197	7854212
6	2.307757297691734E-4	3.1423176569270628	9999996	98	7855791
6	2.2853688993791968E-5	3.141520856608343	9999996	71	7853799
6	6.38520187336763E-5	3.1413920565568225	9999996	65	7853477
6	1.278979334034351E-4	3.1419944567977827	9999996	62	7854983
6	1.9092137612603243E-4	3.1409928563971423	9999996	63	7852479
6	8.804551971219867E-5	3.1418692567477025	9999996	66	7854670
6	2.783949077899301E-4	3.1424672569869028	9999996	67	7856165
6	9.74674961121137E-5	3.1418988567595427	9999996	74	7854744
6	3.9795020891145226E-4	3.1403424561369824	9999996	64	7850853
7-------------------
7	2.032444603600905E-4	3.140954142286243	9999997	196	7852383
7	1.1481087333120986E-4	3.1419533425860027	9999997	86	7854881
7	1.2232298889882167E-4	3.141976942593083	9999997	55	7854940
7	9.112861069450926E-5	3.141878942563683	9999997	60	7854695
7	1.842024493367298E-4	3.1421713426514026	9999997	57	7855426
7	3.141365813189969E-5	3.1416913425074027	9999997	55	7854226
7	5.102155300329083E-5	3.141752942525883	9999997	55	7854380
7	1.6288275468358441E-4	3.1410809423242827	9999997	56	7852700
7	1.2754327259827903E-4	3.1419933425980027	9999997	60	7854981
7	8.9218750804357E-5	3.1418729425618825	9999997	57	7854680
8-------------------
8	1.765142585548459E-5	3.1415372	10000000	221	7853843
8	2.608401788999672E-4	3.1407732	10000000	95	7851933
8	1.0712604952847411E-4	3.1419292	10000000	57	7854823
8	1.1896717729449823E-4	3.1419664	10000000	53	7854916
8	7.618632859143879E-5	3.141832	10000000	51	7854580
8	5.737649965123313E-5	3.1414124	10000000	50	7853531
8	4.575590347231218E-5	3.1417364	10000000	51	7854341
8	8.971678408758808E-5	3.1413108	10000000	52	7853277
8	5.123083351461878E-5	3.1417536	10000000	50	7854384
