NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	3.3735787466511002E-6	3.141603252	1000000000	33772	785400813
1	3.9139058709273483E-7	3.141591424	1000000000	33627	785397856
1	2.1849115483244873E-7	3.14159334	1000000000	36199	785398335
1	1.1718129577031883E-5	3.14155584	1000000000	34426	785388960
1	4.51116442626619E-5	3.141734376	1000000000	34561	785433594
1	3.0038773386301323E-5	3.141498284	1000000000	34884	785374571
1	9.53452375779423E-6	3.1415627	1000000000	34977	785390675
1	1.5475720619455916E-5	3.141641272	1000000000	34742	785410318
1	2.513880908215269E-6	3.141584756	1000000000	34781	785396189
1	1.8274039992921103E-5	3.141535244	1000000000	35084	785383811
2-------------------
2	1.3185701214700282E-6	3.141596796	1000000000	17856	785399199
2	1.3733194219001621E-6	3.141596968	1000000000	17796	785399242
2	1.3913455698004692E-5	3.141636364	1000000000	17737	785409091
2	1.2189962912297286E-6	3.141588824	1000000000	17726	785397206
2	1.564480033304867E-5	3.141543504	1000000000	17823	785385876
2	9.313241222930152E-6	3.141621912	1000000000	17704	785405478
2	6.985024631923248E-7	3.141594848	1000000000	17689	785398712
2	1.5221072710501562E-5	3.141640472	1000000000	17784	785410118
2	6.208822067000191E-6	3.141573148	1000000000	17761	785393287
2	6.4484522471583175E-6	3.141612912	1000000000	17749	785403228
3-------------------
3	1.0611684412709317E-5	3.141559316	1000000000	12060	785389829
3	2.6224147710162256E-5	3.141510268	1000000000	12126	785377567
3	9.916756767028992E-6	3.141623808	1000000000	12082	785405952
3	1.397711767527862E-5	3.141636564	1000000000	12114	785409141
3	1.659489817914845E-5	3.141644788	1000000000	12127	785411197
3	3.116123212805384E-6	3.141582864	1000000000	12109	785395716
3	4.033116830830157E-6	3.141605324	1000000000	12083	785401331
3	1.2757354191428253E-5	3.141632732	1000000000	12108	785408183
3	5.7125197903353615E-6	3.1416106	1000000000	12096	785402650
3	3.4219618493962484E-6	3.141603404	1000000000	12117	785400851
4-------------------
4	1.5204259450590146E-5	3.141544888	1000000000	9175	785386222
4	8.428339739345573E-6	3.141619132	1000000000	9131	785404783
4	4.772607860588097E-6	3.14157766	1000000000	9063	785394415
4	1.0045092815211664E-5	3.141561096	1000000000	9299	785390274
4	1.0236521041328564E-7	3.141592332	1000000000	11486	785398083
4	2.7484181301971365E-6	3.141601288	1000000000	9006	785400322
4	2.2915259279279633E-5	3.141664644	1000000000	9022	785416161
4	3.273066292967151E-5	3.14169548	1000000000	9068	785423870
4	4.2543993658355925E-6	3.141579288	1000000000	9147	785394822
4	1.1413825325823653E-5	3.141556796	1000000000	9167	785389199
5-------------------
5	1.0145939885102047E-5	3.141624528	1000000000	7284	785406132
5	6.378424072199404E-6	3.141612692	1000000000	7311	785403173
5	4.9444951990722095E-6	3.14157712	1000000000	7268	785394280
5	2.0239921849946947E-5	3.141529068	1000000000	7274	785382267
5	6.938388326138162E-6	3.141570856	1000000000	7292	785392714
5	1.9705161241156937E-5	3.141530748	1000000000	7267	785382687
5	2.1573738355943574E-6	3.141585876	1000000000	7288	785396469
5	1.751799684912566E-5	3.141647688	1000000000	7257	785411922
5	1.5708462310322595E-5	3.141543304	1000000000	7323	785385826
5	1.2489973886962568E-5	3.141631892	1000000000	7294	785407973
6-------------------
6	9.419932198757701E-6	3.14156306	1000000000	6091	785390765
6	4.385342244668635E-5	3.141454884	1000000000	6121	785363721
6	3.336654799908555E-6	3.141603136	1000000000	6539	785400784
6	2.2270738923896804E-5	3.141522688	1000000000	9911	785380672
6	8.346852408384057E-6	3.141618876	1000000000	9335	785404719
6	3.783609235825468E-5	3.141473788	1000000000	9410	785368447
6	1.8880102016178754E-5	3.14153334	1000000000	9408	785383335
6	7.052979885174689E-6	3.141570496	1000000000	9543	785392624
6	3.1677432680396444E-5	3.141493136	1000000000	9463	785373284
6	3.5340069292739673E-6	3.141603756	1000000000	9779	785400939
7-------------------
7	2.0199439330410777E-5	3.141656112	1000000000	8176	785414028
7	8.141860841683575E-6	3.141618232	1000000000	8102	785404558
7	2.6971539322987816E-5	3.14150792	1000000000	8228	785376980
7	1.3350683819174573E-5	3.141634596	1000000000	8211	785408649
7	1.2239145696675748E-5	3.141631104	1000000000	8310	785407776
7	9.487413894699165E-6	3.141562848	1000000000	8071	785390712
7	1.396667061305219E-5	3.141548776	1000000000	8143	785387194
7	2.248999727134989E-5	3.141663308	1000000000	8022	785415827
7	3.4420725362273783E-6	3.14158184	1000000000	8131	785395460
7	1.0859966123978688E-5	3.141558536	1000000000	8178	785389634
8-------------------
8	1.667383903095116E-5	3.141645036	1000000000	7227	785411259
8	2.801894191118545E-6	3.141601456	1000000000	7218	785400364
8	5.2589853666329585E-6	3.141576132	1000000000	7173	785394033
8	6.233813300571512E-7	3.141594612	1000000000	7211	785398653
8	3.671516800174344E-6	3.141604188	1000000000	7238	785401047
8	2.3289330559572865E-5	3.141519488	1000000000	7204	785379872
8	2.753584558705921E-5	3.14167916	1000000000	7227	785419790
8	3.472455605673747E-5	3.141701744	1000000000	7228	785425436
8	1.0545475956417938E-5	3.141559524	1000000000	7457	785389881
8	1.3048664901251242E-5	3.14155166	1000000000	7212	785387915
9-------------------
9	4.1861063705003035E-5	3.141724164	1000000000	7209	785431041
9	5.7316183835316756E-6	3.14161066	1000000000	7156	785402665
9	2.9594412785175265E-5	3.14149968	1000000000	7192	785374920
9	1.322128694263653E-6	3.1415885	1000000000	7240	785397125
9	2.2352487400449514E-5	3.141662876	1000000000	7096	785415719
9	9.272236411646163E-6	3.141563524	1000000000	5286	785390881
9	1.634661646802044E-5	3.141644008	1000000000	4273	785411002
9	9.563808267343063E-6	3.141562608	1000000000	4224	785390652
9	3.5579373349139896E-6	3.141581476	1000000000	4264	785395369
9	6.627717877244947E-6	3.141571832	1000000000	4279	785392958
10-------------------
10	2.1487957749569976E-5	3.14166016	1000000000	4013	785415040
10	1.0897151216453785E-5	3.141626888	1000000000	3896	785406722
10	3.250758486355089E-5	3.141490528	1000000000	3924	785372632
10	2.313680296001762E-5	3.14166534	1000000000	3934	785416335
10	4.336686378854498E-7	3.141594016	1000000000	3906	785398504
10	1.3773399348086865E-5	3.141635924	1000000000	4011	785408981
10	3.175965471411778E-6	3.141582676	1000000000	3922	785395669
10	2.8784893580458415E-5	3.141683084	1000000000	3902	785420771
10	2.3755336233054046E-5	3.141518024	1000000000	3898	785379506
10	2.955956176056427E-6	3.14160194	1000000000	3898	785400485
11-------------------
11	3.2671651618399103E-7	3.14159368	1000000000	3624	785398420
11	2.850732735978157E-5	3.141682212	1000000000	3637	785420553
11	1.7833025553011244E-6	3.141598256	1000000000	3666	785399564
11	9.663120951850812E-6	3.141562296	1000000000	3679	785390574
11	4.4894751241422964E-7	3.141594064	1000000000	3916	785398516
11	2.7361411769557648E-5	3.141678612	1000000000	3874	785419653
11	6.412540394191946E-6	3.141572508	1000000000	3913	785393127
11	1.0012723290179185E-6	3.141589508	1000000000	3882	785397377
11	8.191517183937449E-6	3.141618388	1000000000	3829	785404597
11	1.7321656813395063E-5	3.141538236	1000000000	3874	785384559
12-------------------
12	1.3069036734097641E-5	3.141551596	1000000000	3675	785387899
12	2.2647617829081398E-5	3.141521504	1000000000	3705	785380376
12	6.624159304451323E-6	3.141613464	1000000000	3740	785403366
12	1.154114928037151E-5	3.141556396	1000000000	3987	785389099
12	3.389949683175928E-5	3.141699152	1000000000	3807	785424788
12	2.5320408779255272E-5	3.1416722	1000000000	3758	785418050
12	1.3030839547705013E-5	3.141551716	1000000000	3758	785387929
12	2.1398096277806786E-6	3.141599376	1000000000	3769	785399844
12	3.53138048200837E-5	3.141481712	1000000000	3723	785370428
12	1.2241431029960647E-5	3.141554196	1000000000	3788	785388549
13-------------------
13	6.188269087711601E-8	3.141592848	1000000000	3572	785398212
13	1.5067484282590943E-6	3.14158792	1000000000	3666	785396980
13	1.2045352140103961E-5	3.141554812	1000000000	3547	785388703
13	6.613173705758698E-7	3.141590576	1000000000	3562	785397644
13	7.953421389161957E-6	3.14161764	1000000000	3527	785404410
13	2.6410301829540334E-5	3.141675624	1000000000	3573	785418906
13	1.2302546528075766E-5	3.141554004	1000000000	3607	785388501
13	2.4369479983983854E-7	3.141591888	1000000000	3571	785397972
13	1.811387295603079E-5	3.14164956	1000000000	3585	785412390
13	2.1009219680860185E-5	3.141658656	1000000000	3547	785414664
14-------------------
