NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	2.4110831211757425E-5	3.1416684	10000000	210	7854171
1	5.339534074066011E-5	3.1417604	10000000	168	7854401
1	4.779308674380566E-5	3.1417428	10000000	165	7854357
1	5.075565401870261E-5	3.1414332	10000000	165	7853583
1	2.3384349967961744E-6	3.1416	10000000	166	7854000
1	8.526044568095755E-5	3.1413248	10000000	164	7853312
1	3.585875134522623E-5	3.14148	10000000	169	7853700
1	8.61142508795838E-6	3.1415656	10000000	165	7853914
1	1.2953506551589193E-4	3.1419996	10000000	166	7854999
1	1.2826182597112015E-4	3.1419956	10000000	166	7854989
2-------------------
2	2.321956353048786E-5	3.1416656	10000000	166	15708328
2	3.496748366395666E-5	3.1414828	10000000	169	15707414
2	5.734238332938194E-5	3.1417728	10000000	167	15708864
2	1.3927534803314864E-4	3.1420302	10000000	166	15710151
2	8.738749042364879E-6	3.1415652	10000000	170	15707826
2	3.7734494340462026E-5	3.1417112	10000000	174	15708556
2	1.676685898806404E-4	3.1421194	10000000	168	15710597
2	1.004153424241804E-5	3.1416242	10000000	166	15708121
2	1.1514745866032425E-4	3.1419544	10000000	171	15709772
2	9.738576701135875E-5	3.1418986	10000000	167	15709493
3-------------------
3	4.753011383870835E-5	3.141443333333333	10000000	173	23560825
3	1.5911666427188446E-4	3.1420925333333334	10000000	180	23565694
3	8.938557853850568E-5	3.1418734666666666	10000000	169	23564051
3	9.935430947008612E-6	3.1416238666666665	10000000	168	23562179
3	1.0313656562175814E-4	3.141916666666667	10000000	180	23564375
3	1.559676817318769E-4	3.141102666666667	10000000	177	23558270
3	7.283346445689667E-5	3.1418214666666664	10000000	170	23563661
3	9.829825535176675E-5	3.141901466666667	10000000	172	23564261
3	3.8074024885828744E-5	3.141712266666667	10000000	177	23562842
3	1.225322480198592E-4	3.1419776	10000000	170	23564832
4-------------------
4	1.2619509704420392E-4	3.1411962	10000000	172	31411962
4	8.248886433788238E-5	3.1418518	10000000	174	31418518
4	8.516495271511733E-5	3.1413251	10000000	169	31413251
4	2.1815653869669317E-6	3.1415858	10000000	186	31415858
4	1.6897594574726335E-4	3.1410618	10000000	173	31410618
4	1.2839143525881155E-4	3.1411893	10000000	177	31411893
4	8.706918053798593E-6	3.1415653	10000000	172	31415653
4	1.948227085054943E-4	3.1409806	10000000	176	31409806
4	9.987086945677192E-5	3.1412789	10000000	168	31412789
4	1.5770549044313698E-4	3.1420881	10000000	209	31420881
5-------------------
5	3.155520168402485E-5	3.14149352	10000000	176	39268669
5	1.5367568728408629E-4	3.14207544	10000000	175	39275943
5	2.9025535854392716E-5	3.14168384	10000000	194	39271048
5	6.900525755923697E-5	3.1418094400000003	10000000	175	39272618
5	3.9004387723734894E-6	3.1415804	10000000	181	39269755
5	1.285505902019257E-4	3.1411888	10000000	175	39264860
5	5.910810543200966E-5	3.1414069600000003	10000000	179	39267587
5	1.1230405361117499E-4	3.14123984	10000000	186	39265498
5	7.533252339267117E-6	3.14161632	10000000	182	39270204
5	3.521348004194114E-5	3.14170328	10000000	173	39271291
6-------------------
6	9.071415506426706E-5	3.1413076666666666	10000000	185	47119615
6	4.348529295086141E-5	3.1417292666666667	10000000	195	47125939
6	7.924210349874969E-5	3.1418416	10000000	184	47127624
6	8.976755040186654E-5	3.1418746666666664	10000000	218	47128120
6	6.86022283039391E-5	3.1413771333333336	10000000	212	47120657
6	1.1437518993717688E-4	3.1412333333333335	10000000	220	47118500
6	2.1437028167807376E-5	3.14166	10000000	182	47124900
6	1.0328511023516171E-4	3.141917133333333	10000000	183	47128757
6	1.0500063746048294E-5	3.1415596666666663	10000000	192	47123395
6	1.5586157843660884E-4	3.1411029999999998	10000000	188	47116545
7-------------------
7	5.266551333578959E-5	3.1414272	10000000	195	54974976
7	2.3074050439596218E-5	3.1416651428571427	10000000	184	54979140
7	1.535242744150895E-4	3.141110342857143	10000000	228	54969431
7	4.497377060910533E-5	3.141733942857143	10000000	197	54980344
7	1.1245320452919404E-4	3.1412393714285716	10000000	185	54971689
